gene,genotype,age,biological_replicate,id,CT_replicate_1,CT_replicate_2,CT_replicate_3,row_means,delta_CT
ACTIN2,agp31 null,Day 11,3,agp31_null_Day_11_3,22.915,22.708,22.694,22.77233333,0
OLE1,agp31 null,Day 11,3,agp31_null_Day_11_3,32.906,33.067,NA,32.9865,10.21416667
CRU3,agp31 null,Day 11,3,agp31_null_Day_11_3,31.775,31.486,NA,31.6305,8.858166667
ACTIN2,agp31 null,Day 11,4,agp31_null_Day_11_4,22.339,22.124,21.594,22.019,0
CRU3,agp31 null,Day 11,4,agp31_null_Day_11_4,32.72,32.07,32.456,32.41533333,10.39633333
ACTIN2,agp31 null,Day 11,12,agp31_null_Day_11_12,22.334,22.499,23.223,22.68533333,0
OLE1,agp31 null,Day 11,12,agp31_null_Day_11_12,32.816,32.862,33.689,33.12233333,10.437
CRU3,agp31 null,Day 11,12,agp31_null_Day_11_12,29.748,29.004,29.021,29.25766667,6.572333333
ACTIN2,agp31 null,Day 13,5,agp31_null_Day_13_5,19.907,19.575,NA,19.741,0
OLE1,agp31 null,Day 13,5,agp31_null_Day_13_5,32.305,32.773,NA,32.539,12.798
CRU3,agp31 null,Day 13,5,agp31_null_Day_13_5,30.635,30.08,29.845,30.18666667,10.44566667
ACTIN2,agp31 null,Day 13,4,agp31_null_Day_13_4,22.492,22.094,NA,22.293,0
OLE1,agp31 null,Day 13,4,agp31_null_Day_13_4,35.12,34.131,NA,34.6255,12.3325
CRU3,agp31 null,Day 13,4,agp31_null_Day_13_4,30.86,31.333,NA,31.0965,8.8035
ACTIN2,agp31 null,Day 13,3,agp31_null_Day_13_3,23.223,23.914,23.184,23.44033333,0
CRU3,agp31 null,Day 13,3,agp31_null_Day_13_3,30.718,30.909,NA,30.8135,7.373166667
ACTIN2,agp31 null,Day 13,6,agp31_null_Day_13_6,23.728,23.241,22.958,23.309,0
CRU3,agp31 null,Day 13,6,agp31_null_Day_13_6,30.851,30.924,NA,30.8875,7.5785
ACTIN2,WT,Day 11,3,WT_Day_11_3,22.89,22.618,22.486,22.66466667,0
OLE1,WT,Day 11,3,WT_Day_11_3,31.811,31.844,NA,31.8275,9.162833333
CRU3,WT,Day 11,3,WT_Day_11_3,30.557,29.795,NA,30.176,7.511333333
ACTIN2,WT,Day 11,4,WT_Day_11_4,22.86,22.987,NA,22.9235,0
OLE1,WT,Day 11,4,WT_Day_11_4,32.752,32.266,NA,32.509,9.5855
ACTIN2,WT,Day 13,4,WT_Day_13_4,23.132,23.46,NA,23.296,0
OLE1,WT,Day 13,4,WT_Day_13_4,32.516,32.595,NA,32.5555,9.2595
CRU3,WT,Day 13,4,WT_Day_13_4,32.883,NA,NA,32.883,9.587
ACTIN2,WT,Day 13,5,WT_Day_13_5,23.343,22.99,22.907,23.08,0
OLE1,WT,Day 13,5,WT_Day_13_5,32.532,32.278,NA,32.405,9.325
CRU3,WT,Day 13,5,WT_Day_13_5,32.33,32.219,NA,32.2745,9.1945
