"gene","genotype","age","biological_replicate","id","CT_replicate_1","CT_replicate_2","CT_replicate_3","row_means","delta_CT","calibration_value","delta_delta_CT","log2foldchange"
"ACTIN2","agp31 null","Day 11",3,"agp31_null_Day_11_3",22.915,22.708,22.694,22.77233333,0,NA,NA,NA
"OLE1","agp31 null","Day 11",3,"agp31_null_Day_11_3",32.906,33.067,NA,32.9865,10.21416667,9.3741666665,0.8400000035,0.558643567680832
"CRU3","agp31 null","Day 11",3,"agp31_null_Day_11_3",31.775,31.486,NA,31.6305,8.858166667,7.511333333,1.346833334,0.393154062203401
"ACTIN2","agp31 null","Day 11",4,"agp31_null_Day_11_4",22.339,22.124,21.594,22.019,0,NA,NA,NA
"CRU3","agp31 null","Day 11",4,"agp31_null_Day_11_4",32.72,32.07,32.456,32.41533333,10.39633333,7.511333333,2.884999997,0.135371880972239
"ACTIN2","agp31 null","Day 11",12,"agp31_null_Day_11_12",22.334,22.499,23.223,22.68533333,0,NA,NA,NA
"OLE1","agp31 null","Day 11",12,"agp31_null_Day_11_12",32.816,32.862,33.689,33.12233333,10.437,9.3741666665,1.0628333335,0.478691026404077
"CRU3","agp31 null","Day 11",12,"agp31_null_Day_11_12",29.748,29.004,29.021,29.25766667,6.572333333,7.511333333,-0.938999999999999,1.91719887698595
"ACTIN2","agp31 null","Day 13",5,"agp31_null_Day_13_5",19.907,19.575,NA,19.741,0,NA,NA,NA
"OLE1","agp31 null","Day 13",5,"agp31_null_Day_13_5",32.305,32.773,NA,32.539,12.798,9.29225,3.50575,0.0880367684697461
"CRU3","agp31 null","Day 13",5,"agp31_null_Day_13_5",30.635,30.08,29.845,30.18666667,10.44566667,9.39075,1.05491667,0.481325022059391
"ACTIN2","agp31 null","Day 13",4,"agp31_null_Day_13_4",22.492,22.094,NA,22.293,0,NA,NA,NA
"OLE1","agp31 null","Day 13",4,"agp31_null_Day_13_4",35.12,34.131,NA,34.6255,12.3325,9.29225,3.04025,0.121560801719553
"CRU3","agp31 null","Day 13",4,"agp31_null_Day_13_4",30.86,31.333,NA,31.0965,8.8035,9.39075,-0.587250000000001,1.50238024704335
"ACTIN2","agp31 null","Day 13",3,"agp31_null_Day_13_3",23.223,23.914,23.184,23.44033333,0,NA,NA,NA
"CRU3","agp31 null","Day 13",3,"agp31_null_Day_13_3",30.718,30.909,NA,30.8135,7.373166667,9.39075,-2.017583333,4.04904964818546
"ACTIN2","agp31 null","Day 13",6,"agp31_null_Day_13_6",23.728,23.241,22.958,23.309,0,NA,NA,NA
"CRU3","agp31 null","Day 13",6,"agp31_null_Day_13_6",30.851,30.924,NA,30.8875,7.5785,9.39075,-1.81225,3.51189570286419
"ACTIN2","WT","Day 11",3,"WT_Day_11_3",22.89,22.618,22.486,22.66466667,0,NA,NA,NA
"OLE1","WT","Day 11",3,"WT_Day_11_3",31.811,31.844,NA,31.8275,9.162833333,9.3741666665,-0.211333333499999,1.1577576850486
"CRU3","WT","Day 11",3,"WT_Day_11_3",30.557,29.795,NA,30.176,7.511333333,7.511333333,0,1
"ACTIN2","WT","Day 11",4,"WT_Day_11_4",22.86,22.987,NA,22.9235,0,NA,NA,NA
"OLE1","WT","Day 11",4,"WT_Day_11_4",32.752,32.266,NA,32.509,9.5855,9.3741666665,0.211333333500001,0.863738598252555
"ACTIN2","WT","Day 13",4,"WT_Day_13_4",23.132,23.46,NA,23.296,0,NA,NA,NA
"OLE1","WT","Day 13",4,"WT_Day_13_4",32.516,32.595,NA,32.5555,9.2595,9.29225,-0.0327500000000001,1.02296018888197
"CRU3","WT","Day 13",4,"WT_Day_13_4",32.883,NA,NA,32.883,9.587,9.39075,0.196249999999999,0.87281633048375
"ACTIN2","WT","Day 13",5,"WT_Day_13_5",23.343,22.99,22.907,23.08,0,NA,NA,NA
"OLE1","WT","Day 13",5,"WT_Day_13_5",32.532,32.278,NA,32.405,9.325,9.29225,0.0327500000000001,0.977555149133353
"CRU3","WT","Day 13",5,"WT_Day_13_5",32.33,32.219,NA,32.2745,9.1945,9.39075,-0.196250000000001,1.14571641830505
